CityPart,Area,Rooms,Bedrooms,Floor,MaxFloor,LastFloor,Status,Condition,Electrical Points,Heating,Natural Gas,Bed,Stove (Gas/Electric),Table,Refrigerator,Chairs,Oven,Air Conditioner,Washing Machine,Sofa,Dishwasher,PRICE (GEL)
Krtsanisshi,730,7,4,6,6,1,Newly Constructed,Newly Renovated,3,Central Heating,1,0,0,1,0,0,0,0,0,0,0,4619070
Didubeshi,44,2,1,15,30,0,Under Construction,Black Frame,1,,0,0,0,0,0,0,0,0,0,0,0,149441
Didubeshi,95,3,2,24,30,0,Under Construction,Black Frame,1,,0,0,0,0,0,0,0,0,0,0,0,234757
Didubeshi,95,3,2,28,30,0,Under Construction,Black Frame,1,,0,0,0,0,0,0,0,0,0,0,0,234757
Didubeshi,128,4,3,18,30,0,Under Construction,Green Frame,1,,0,0,0,0,0,0,0,0,0,0,0,347789
Didubeshi,80,3,2,24,30,0,Under Construction,Black Frame,1,,0,0,0,0,0,0,0,0,0,0,0,195631
Mtatsmindaze,135,4,3,4,4,1,Newly Constructed,Green Frame,3,Central Heating,0,0,0,0,0,0,0,0,0,0,0,641915
Vakeshi,273,6,4,20,23,0,Newly Constructed,Green Frame,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,1668299
Vakeshi,146,4,3,19,23,0,Newly Constructed,Green Frame,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,812413
Vakeshi,133,5,3,18,23,0,Newly Constructed,Green Frame,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,668407
Vazisubanshi,80,3,2,9,9,1,Old Constructed,Old Renovated,2,Gas Heater,1,0,0,0,0,0,0,0,0,0,0,195631
Isanshi,70,3,1,22,26,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,192914
Saburtaloze,145,4,3,11,12,0,Newly Constructed,White Frame,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,491795
Lisze,64,2,1,14,14,1,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,220085
Nutsubidzis Ferdobze,140,4,3,15,17,0,Newly Constructed,Green Frame,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,418433
Vakeshi,136,3,2,8,8,1,Newly Constructed,White Frame,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,461907
Didubeshi,128,4,3,13,30,0,Under Construction,Black Frame,1,,1,0,0,0,0,0,0,0,0,0,0,313010
Ortachalashi,190,6,4,5,15,0,Newly Constructed,White Frame,3,Central Heating,1,0,0,0,0,0,0,0,0,0,0,619499
Veraze,110,4,3,3,8,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,1195524
Saburtaloze,120,3,2,8,22,0,Newly Constructed,Green Frame,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,596403
Saburtaloze,82,3,2,8,15,0,Newly Constructed,Green Frame,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,355940
Vakeshi,119,3,2,17,22,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,923814
Saburtaloze,160,5,3,16,18,0,Newly Constructed,White Frame,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,516249
Didubeshi,135,5,4,23,30,0,Under Construction,Black Frame,1,,1,0,0,0,0,0,0,0,0,0,0,330128
Sololakshi,160,4,3,1,5,0,Newly Constructed,White Frame,2,,1,0,0,0,0,0,0,0,0,0,0,706446
Saburtaloze,164,5,4,2,16,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,679275
Saburtaloze,255,3,2,8,8,1,Newly Constructed,Newly Renovated,1,Central Heating,1,0,1,1,1,1,0,0,0,1,0,923814
Vakeshi,87,3,2,2,12,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,665690
Vakeshi,118,4,3,8,13,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,652104
Did Dighomshi,61,2,1,2,6,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,198892
Did Dighomshi,57.5,2,1,2,6,0,Newly Constructed,White Frame,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,187480
Didubeshi,60,2,1,8,8,1,Old Constructed,Newly Renovated,1,Gas Heater,1,0,0,0,0,0,0,0,0,0,0,211934
Didubeshi,295,4,3,23,30,0,Under Construction,Black Frame,2,,1,0,0,0,0,0,0,0,0,0,0,721390
Saburtaloze,128,4,3,8,14,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,733617
Saburtaloze,125,3,2,4,7,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,570591
Saburtaloze,86,3,2,21,23,0,Newly Constructed,Newly Renovated,1,Central Heating,1,1,1,1,1,1,1,1,1,1,1,675199
Saburtaloze,87,3,2,19,24,0,Newly Constructed,White Frame,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,380394
Vakeshi,151,4,3,9,16,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,1141182
Bagebshi,63,2,1,8,11,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,543420
Vakeshi,140,4,3,3,10,0,Newly Constructed,Black Frame,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,624933
Saburtaloze,62,2,1,11,15,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,350506
Saburtaloze,85.5,3,2,21,22,0,Newly Constructed,White Frame,1,Central Heating,1,0,0,0,0,0,0,0,0,0,0,369526
Vakeshi,115.4,4,3,9,41,0,Newly Constructed,Newly Renovated,2,,0,0,0,0,0,0,0,0,0,0,0,1567767
Svanetis Ubanshi,105,4,3,2,6,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,339638
Saburtaloze,100,3,2,11,34,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,1086840
Nutsubidzis Ferdobze,60,3,2,7,9,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,228236
Isanshi,73.7,3,2,5,16,0,Under Construction,White Frame,1,Central Heating,1,0,0,0,0,0,0,0,0,0,0,210263
Saburtaloze,110,3,2,13,16,0,Old Constructed,Old Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,366809
Mukhattsqaroshi,195,4,3,4,8,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,1575918
Avlabarshi,104,3,2,3,8,0,Newly Constructed,Newly Renovated,,Central Heating,1,0,0,0,0,0,0,0,0,0,0,461907
Saburtaloze,127,3,2,28,29,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,1263452
Vakeshi,108,3,2,7,24,0,Newly Constructed,Green Frame,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,760788
Vakeshi,400,10,6,9,10,0,Newly Constructed,Black Frame,3,Central Heating,1,0,0,0,0,0,0,0,0,0,0,2037825
Krtsanisshi,68,3,2,6,7,0,Newly Constructed,Green Frame,1,,0,0,0,0,0,0,0,0,0,0,0,277144
Saburtaloze,76,3,2,6,6,1,Old Constructed,Needs Renovation,1,,1,0,0,0,0,0,0,0,0,0,0,97816
Did Dighomshi,47.4,2,1,10,17,0,Newly Constructed,White Frame,1,Central Heating,1,0,0,0,0,0,0,0,0,0,0,165743
Veraze,105,4,3,5,8,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,665690
Krtsanisshi,55,3,2,6,7,0,Newly Constructed,Green Frame,1,,1,0,0,0,0,0,0,0,0,0,0,246577
Krtsanisshi,68,3,2,7,7,1,Newly Constructed,Green Frame,1,,1,0,0,0,0,0,0,0,0,0,0,258668
Saburtaloze,112,4,2,13,14,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,0,0,0,0,0,0,0,0,808881
Nutsubidzis Ferdobze,123.5,4,3,3,7,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,467341
Did Dighomshi,114,3,2,12,14,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,334203
Saburtaloze,105,4,3,3,8,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,434736
Vakeshi,136,3,2,11,22,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,1766115
Bagebshi,137,3,2,8,10,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,815130
Vakeshi,115,3,2,9,35,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,1562333
Saburtaloze,228,5,4,13,17,0,Newly Constructed,White Frame,3,Central Heating,1,0,0,0,0,0,0,0,0,0,0,760788
Saburtaloze,205,4,3,17,24,0,Newly Constructed,Newly Renovated,3,Central Heating,1,0,0,1,0,0,0,0,0,0,0,1467234
Didubeshi,109,4,3,7,10,0,Newly Constructed,Green Frame,2,,1,0,0,0,0,0,0,0,0,0,0,393980
Moskovis Gamzirze,62,3,2,4,8,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,0,0,0,0,0,0,0,0,244539
Veraze,62,2,1,4,10,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,0,0,0,0,0,0,0,0,461907
Saburtaloze,140,4,3,5,8,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,611348
Vashlijvarshi,55.63,2,1,2,14,0,Newly Constructed,Green Frame,1,,1,0,0,0,0,0,0,0,0,0,0,167326
Vakeshi,192,4,2,5,6,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,2037825
Didubeshi,138,5,3,3,10,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,516249
Dighmis Masivshi,75,3,2,13,16,0,Old Constructed,Old Renovated,,Gas Heater,1,0,0,0,0,0,0,0,0,0,0,211934
Tkhinvalshi,107,4,3,5,5,1,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,470058
Lisze,106,4,3,4,5,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,578742
Vakeshi,211,3,2,8,10,0,Newly Constructed,Newly Renovated,3,Central Heating,1,0,0,1,0,0,0,0,0,0,0,1263452
Isanshi,42,2,1,23,23,1,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,149454
Bagebshi,143,3,2,10,12,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,475493
Did Dighomshi,100,3,2,5,5,1,Newly Constructed,Black Frame,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,190197
Nadzaladevshi,133,2,1,12,12,1,Newly Constructed,White Frame,1,,0,0,0,0,0,0,0,0,0,0,0,307168
Isanshi,150,3,2,2,6,0,Newly Constructed,Newly Renovated,,Central Heating,1,0,0,0,0,0,0,0,0,0,0,652104
Avlabarshi,59,2,1,6,6,1,Newly Constructed,Green Frame,,,0,0,0,0,0,0,0,0,0,0,0,312467
Avlabarshi,83,3,2,1,6,0,Newly Constructed,Newly Renovated,,,1,0,0,0,0,0,0,0,0,0,0,360831
Vakeshi,122,3,2,9,15,0,Newly Constructed,Newly Renovated,2,Central Heating,0,0,0,0,0,0,0,0,0,0,0,1032498
Saburtaloze,100,3,2,6,12,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,543420
Isanshi,48,2,1,10,16,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,0,0,0,0,0,0,0,0,146723
Veraze,105,4,3,1,3,0,Old Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,611348
Chughuretshi,309,5,4,7,7,1,Newly Constructed,Newly Renovated,3,Central Heating,1,0,0,1,0,0,0,0,0,0,0,2173680
Vakeshi,103,3,2,5,14,0,Newly Constructed,Green Frame,1,Central Heating,1,0,0,0,0,0,0,0,0,0,0,728183
Saburtaloze,82,2,1,6,30,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,883058
Chughuretshi,135,5,3,3,4,0,Old Constructed,Old Renovated,2,Gas Heater,1,0,0,0,0,0,0,0,0,0,0,434736
Ortachalashi,91,3,2,6,9,0,Newly Constructed,Newly Renovated,,Central Heating,1,0,0,0,0,0,0,0,0,0,0,366809
Saburtaloze,365,7,5,12,12,1,Newly Constructed,Newly Renovated,3,Central Heating,1,0,0,1,0,0,0,0,0,0,0,1263452
Saburtaloze,200,6,4,2,6,0,Newly Constructed,Newly Renovated,2,Central Heating,1,0,0,1,0,0,0,0,0,0,0,937400
Chughuretshi,97,5,2,1,2,0,Old Constructed,Old Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,393980
Isanshi,54,2,1,3,22,0,Newly Constructed,Newly Renovated,,Central Heating,1,0,0,0,0,0,0,0,0,0,0,374960
Did Dighomshi,88,3,2,7,13,0,Newly Constructed,Newly Renovated,1,,1,0,0,0,0,0,0,0,0,0,0,249973
Saburtaloze,95,2,1,11,32,0,Newly Constructed,Newly Renovated,2,Central Heating,0,0,0,0,0,0,0,0,0,0,0,1032498
Isanshi,68,3,2,2,16,0,Newly Constructed,Newly Renovated,1,Central Heating,1,0,0,1,0,0,0,0,0,0,0,201065
Nutsubidzis Ferdobze,199,5,4,4,10,0,Newly Constructed,White Frame,2,Central Heating,1,0,0,0,0,0,0,0,0,0,0,701012
